,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
0,0,0.9975438338157114,1785,0.9975425944025091,1171,0.9975440819712704,1109
1,1,0.997544083129139,1201,0.9975427932573231,1364,0.9975413041095031,942
2,2,0.9975401829031608,1609,0.9975440436795227,1034,0.9975415478506995,1509
3,3,0.997544137179377,1847,0.9975407201636821,1835,0.9975430754716245,1257
4,4,0.9975431115207303,637,0.9975427817061157,3097,0.9975426171178741,1199
5,5,0.9975401204724936,1284,0.99754123475061,1288,0.9975429446293669,751
6,6,0.9975430323433858,1286,0.997540694355221,508,0.9975436407565486,1161
7,7,0.9975414344349391,1572,0.9975440946519178,1039,0.9975436084070377,1471
8,8,0.9975424222171521,1798,0.9975436109511417,1608,0.9975403697311236,1781
9,9,0.9975421017064667,1377,0.9975428188158897,586,0.9975430810743202,374
10,10,0.9975440526908712,1621,0.9975441285777015,2082,0.9975430744233356,751
11,11,0.9975432383147915,1015,0.9975431645277678,107,0.9975422979768194,3003
12,12,0.9975431428118515,452,0.9975441042898454,845,0.9975441011011741,891
13,13,0.9975410730003533,846,0.9975440307459428,1109,0.9975439756064074,922
14,14,0.9975412127745615,593,0.9975440845222279,3165,0.9975411791946363,771
15,15,0.9975401672269483,948,0.9975441051843348,2308,0.9975407876568665,3402
16,16,0.9975435599074789,2516,0.9975440479400159,1371,0.9975413676934327,1473
17,17,0.9975438791309914,1833,0.9975401035588387,440,0.9975428530611655,164
18,18,0.9975416892239468,1371,0.9975419300620388,1253,0.9975441416408748,731
19,19,0.9975400991722772,1454,0.9975402154566972,1570,0.9975428333229419,885
20,20,0.9975416457353039,1926,0.9975417072738999,1702,0.9975441029893384,1878
21,21,0.9975432449730047,1470,0.9975405114629061,935,0.9975421579361585,495
22,22,0.9975400397452732,1674,0.9975441230664515,1075,0.997543827493375,628
23,23,0.9975428007059479,1347,0.9975396850354785,4000,0.9975434445484965,1348
24,24,0.9975406225029008,2663,0.9975441418167561,1328,0.9975432513839406,1086
25,25,0.9975423074800283,3051,0.9975424763329908,1406,0.9975441382625816,2137
26,26,0.99754383709391,913,0.9975435141595957,763,0.9975420563452345,2476
27,27,0.9975436064808356,1190,0.9975419655498015,383,0.9975430016790949,668
28,28,0.9975429535807453,2574,0.997542880019266,538,0.9975441412350416,2529
29,29,0.9975439095004823,2132,0.9975428771566043,1294,0.9975441220034452,1830
30,30,0.9975441384881432,2074,0.9975431911987793,2371,0.9975438805370258,1114
31,31,0.9975412522424355,1887,0.9975440363884575,1297,0.9975433251490728,273
32,32,0.9975408551661726,1473,0.9975414856324445,719,0.9975427872502298,2766
33,33,0.9975438832704973,1148,0.9975424891857108,97,0.997544108263137,462
34,34,0.9975402755968409,960,0.9975435748022341,1557,0.9975403153933783,2337
35,35,0.9975438524815444,1643,0.9975341882123671,4000,0.9975441234907925,1006
36,36,0.9975438249886516,1497,0.9975421584086162,522,0.997543574272767,1878
37,37,0.9975415598342627,3618,0.9975439384839233,2686,0.9975436290928726,941
38,38,0.9975441026591401,1318,0.9975434721090322,912,0.9975438563149539,481
39,39,0.9975435486018434,1690,0.9975405744574539,414,0.9975440111781553,553
40,40,0.997542671233373,2034,0.99754185013572,809,0.997543470670269,573
41,41,0.9975419332919853,1550,0.9975433593053492,1024,0.9975439698888158,337
42,42,0.9975412261330615,1191,0.997544038050812,2144,0.9975438487620992,1235
43,43,0.9975426250575061,2717,0.9975441356272279,924,0.9975418228772024,1125
44,44,0.9975439728453732,1166,0.997543545188627,115,0.9975441392532358,975
45,45,0.9975409637727222,2651,0.9975410074192705,1151,0.9975440478176864,3481
46,46,0.9975441337235103,1528,0.9975418453378151,2287,0.9975431768024563,227
47,47,0.9975402210384442,3147,0.9975406144120966,1027,0.9975440916841157,367
48,48,0.9975437721677284,2008,0.9975426242863159,1787,0.9975410946000927,2664
49,49,0.997543782860445,1775,0.9975417202090855,3974,0.9975403801790175,2667
