,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
0,0,0.9975270504643503,4000,0.9975403375095351,2017,0.9975408559306178,749
1,1,0.9975058155946841,4000,0.9975368754771783,4000,0.997544140637767,1860
2,2,0.9975405770008193,1471,0.997541625500804,2306,0.9975425458556986,2423
3,3,0.9975431430266266,3038,0.9975399059625192,4000,0.9975398553882322,4000
4,4,0.9975394771802485,4000,0.9975267114253864,4000,0.9975411772163718,3894
5,5,0.9975396367978342,4000,0.9975419166890203,352,0.9975440153226454,2592
6,6,0.9975441164250219,1431,0.9975421096610018,1532,0.997543326305633,2889
7,7,0.9975409816856111,1749,0.9975403272732174,1431,0.9975418272172205,951
8,8,0.9975438093838871,2404,0.9975422709596993,2489,0.9975278400379755,4000
9,9,0.9975381434157855,4000,0.9975402951096658,1932,0.9975441184465992,1104
10,10,0.9975439720784247,1895,0.9975246674843765,4000,0.9975438945663437,3196
11,11,0.9975441407356829,2066,0.9975427919486024,1611,0.9975422533660097,3525
12,12,0.9974230112544289,4000,0.9975427725717343,1212,0.9975430830272365,2724
13,13,0.9975361098702553,4000,0.9975364452296711,4000,0.9975439864641229,1162
14,14,0.9975418008490937,872,0.9975434512238274,2973,0.9975197150257322,4000
15,15,0.9975397463837623,4000,0.9975439944755562,1928,0.9975426347628803,1386
16,16,0.9975420591849589,1491,0.9975126112073145,4000,0.9975438317759547,2336
17,17,0.9975350233373088,4000,0.997544056531825,1482,0.9975432890420136,437
18,18,0.9975440946562697,797,0.9975406232725564,3496,0.99754034121141,2568
19,19,0.9975436239942183,3092,0.997543204970039,1742,0.9975433715162476,1945
20,20,0.9975384510176812,4000,0.9975440509413089,2992,0.9975357726006857,4000
21,21,0.9975435455957256,3467,0.9975440553482272,1339,0.9975421467564147,1019
22,22,0.9975391365213298,4000,0.9975441418164119,581,0.9975434997593275,1465
23,23,0.9975440311154732,587,0.9975408765895235,489,0.9975418286551416,2835
24,24,0.9975426691976136,645,0.9975418325076094,906,0.9975400990502822,2382
25,25,0.9975281285190676,4000,0.9975401140975932,2454,0.9975440867656907,3645
26,26,0.9975433101322125,1850,0.9975434223294235,1115,0.997543262686458,566
27,27,0.9975404348906483,1168,0.9975440632312119,1092,0.9975327400561681,4000
28,28,0.9975328923562637,4000,0.9975436442944134,1324,0.9975420466139608,1183
29,29,0.9975430132886943,3252,0.9975440791444992,2509,0.9975434965889718,2898
30,30,0.9975435039718197,2436,0.9975432046033175,508,0.9975436835484222,2160
31,31,0.997520184803961,4000,0.9975440359977223,1635,0.9975408624699966,657
32,32,0.9975415937808825,1125,0.9975436331026029,1592,0.997542529540659,1492
33,33,0.9975403291935185,3287,0.9975434574055966,2865,0.9975441413367847,3044
34,34,0.9975361298163404,4000,0.9975441284974664,2322,0.9975436720736006,1059
35,35,0.9975361716727519,4000,0.9975435784218929,2070,0.9975415589959375,2569
36,36,0.9975440984810177,1025,0.997541503339697,3500,0.9975408378230479,774
37,37,0.9975409839095676,1458,0.9975364539888554,4000,0.9975426260173258,2461
38,38,0.9975440641856139,1401,0.997543091593944,2779,0.9975417280623893,291
39,39,0.9975436842005434,2178,0.997543971196745,3792,0.9975439176440275,2034
40,40,0.9975404939156713,1290,0.9975439583218655,1563,0.9975434262661715,443
41,41,0.9975422908393132,2742,0.9975440733975252,257,0.9975435943869329,3069
42,42,0.9975423035838255,2198,0.9975441085809009,3100,0.9975402238502193,3160
43,43,0.9975420012095819,1044,0.9975440980945594,1493,0.9975406408014236,1896
44,44,0.9975439843953529,3410,0.9975349467580372,4000,0.9975275228439757,4000
45,45,0.997518276287761,4000,0.9975440000117803,1475,0.9975361116233175,4000
46,46,0.9975441311206327,1107,0.9975434655620458,2786,0.9975426933157456,3081
47,47,0.9975418684462074,950,0.9975392485997635,4000,0.9975438474188771,1801
48,48,0.9974673068750417,4000,0.9975406517555296,1008,0.997540025881154,1384
49,49,0.9975438778190535,1326,0.997544011359011,854,0.9975410663438211,252
