,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
0,0,0,0.9975405853971062,66,0.9975441388667176,68,0.9975416574124908,43,0,0,0.9975403436288984,178,0.9975439889190654,273,0.9975419719160309,115,0,0,0.9975415296817671,1364,0.9975406710730318,1844,0.9975441415706814,1524,0,0,0.9975439718376304,2273,0.9975439678680168,952,0.9975435155448052,804
1,1,1,0.9975440347110688,115,0.9975407765062364,97,0.997544045950694,48,1,1,0.9975410530565456,107,0.9975438610218624,83,0.9975419746073984,88,1,1,0.9975350458345992,4000,0.9975400936531084,1364,0.9974737935053944,4000,1,1,0.997539413185636,4000,0.9975417197456072,1933,0.9975419792582416,3467
2,2,2,0.9975414554895224,97,0.9975438732145452,72,0.9975435561905508,61,2,2,0.9975437320380852,45,0.9975418529705551,210,0.9975415901122416,116,2,2,0.9975439558554088,1360,0.9975435926723802,1330,0.9975438853389602,1792,2,2,0.9975416999590464,1481,0.9975438131950676,3645,0.9975433365449008,882
3,3,3,0.9975437229479216,72,0.9975436498634536,112,0.9975406412987674,98,3,3,0.9975433792371295,338,0.997543428602122,111,0.9975437764949504,83,3,3,0.9975419190273388,3265,0.9975434537021788,3423,0.9975409732194987,1280,3,3,0.9975426653837544,3936,0.9975408168087292,1572,0.997540744333518,3430
4,4,4,0.9975440979674159,78,0.9975428249870032,35,0.9975420672417756,72,4,4,0.9975433420577342,170,0.9975438129105034,102,0.9975436681316586,162,4,4,0.9975435657324664,1508,0.9975380619666518,4000,0.9975369196094688,4000,4,4,0.9975440369584684,1152,0.9975436921746234,3209,0.9975438970897308,1568
5,5,5,0.997543406272654,172,0.9975419170895063,89,0.9975429155753396,83,5,5,0.9975440930768604,103,0.9975425998873879,137,0.9975420883720882,60,5,5,0.997543244461043,1738,0.997540796335212,2978,0.9975424420863708,1034,5,5,0.9975440734392838,1804,0.997544140778704,1858,0.9975435151031236,1074
6,6,6,0.9975426430734562,79,0.9975434307521654,98,0.9975436828150456,33,6,6,0.9975407107156145,903,0.9975439020322956,88,0.997543868358667,283,6,6,0.9975172579584743,4000,0.9975436219178224,2383,0.9975409693081124,2990,6,6,0.997543271212582,1535,0.9975429902385962,2333,0.9975419890892702,679
7,7,7,0.99754394088133,88,0.9975438333087856,62,0.9975424330802588,140,7,7,0.9975400065452714,60,0.997543575894944,376,0.99754412184529,194,7,7,0.9975418966186288,3555,0.9975441323308698,2409,0.997541227763106,2035,7,7,0.9975421612492208,1304,0.997543252841648,794,0.9975437295935632,3733
8,8,8,0.9975441321441396,98,0.997543852982379,49,0.997544033898865,36,8,8,0.9975406433969208,362,0.9975417652929855,82,0.9975418830835314,60,8,8,0.9975395349462906,4000,0.9975440625607152,1195,0.9975427477402892,2788,8,8,0.9975401849817014,1821,0.9975433059359196,104,0.9975421045785722,490
9,9,9,0.997540100875758,48,0.9975433976022732,61,0.99754361973964,103,9,9,0.9975407745142252,95,0.9975404595152424,53,0.9975412039518262,343,9,9,0.9975413447720048,2205,0.997540146691824,2139,0.9975427694392314,2770,9,9,0.9975414818065099,460,0.9975431261145488,594,0.9975440725419809,2777
